,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree,group
32,HOPE_Katz,SAGE,0.10.10.5240,0.362339514978602,0.050251256281407,0.3547710381493541,0.0405687955308448,0.1,0.1,0.5,2.0,40.0,1.0
33,HOPE_Katz,GCN,0.10.10.535,0.6590584878744651,0.135678391959799,0.658390852336903,0.1345651937149132,0.1,0.1,0.5,3.0,5.0,1.0
34,HOPE_Katz,GAT,0.10.10.535,0.5349500713266762,0.0954773869346733,0.5353047316364745,0.0931912944757969,0.1,0.1,0.5,3.0,5.0,1.0
35,HOPE_Katz,SAGE,0.10.10.535,0.2339514978601997,0.0402010050251256,0.2267912400740444,0.0354264250859275,0.1,0.1,0.5,3.0,5.0,1.0
36,HOPE_Katz,GCN,0.10.10.5320,0.0927246790299572,0.0854271356783919,0.0779749679802013,0.0729101240206716,0.1,0.1,0.5,3.0,20.0,1.0
37,HOPE_Katz,GAT,0.10.10.5320,0.3423680456490727,0.0703517587939698,0.3369479787976734,0.0337850678733031,0.1,0.1,0.5,3.0,20.0,1.0
38,HOPE_Katz,SAGE,0.10.10.5320,0.1940085592011412,0.050251256281407,0.1924477946130503,0.0371274800760779,0.1,0.1,0.5,3.0,20.0,1.0
39,HOPE_Katz,GCN,0.10.10.545,0.5863052781740371,0.1306532663316583,0.5852977948258988,0.1305332256353761,0.1,0.1,0.5,4.0,5.0,1.0
40,HOPE_Katz,GAT,0.10.10.545,0.3309557774607703,0.1055276381909547,0.3349432218943619,0.1020287182103143,0.1,0.1,0.5,4.0,5.0,1.0
41,HOPE_Katz,SAGE,0.10.10.545,0.3437945791726106,0.0954773869346733,0.3417494326216028,0.0980615764105777,0.1,0.1,0.5,4.0,5.0,1.0
42,HOPE_Katz,GCN,0.10.50.225,0.3566333808844508,0.1407035175879397,0.3546161863704021,0.1400090786779974,0.1,0.5,0.2,2.0,5.0,1.0
