,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
90,VERSE_SR,GAT,Texas,0.6124031007751938,0.5277777777777778,0.3234871794871795,0.1759259259259259
91,VERSE_SR,SAGE,Texas,0.8527131782945736,0.6666666666666666,0.6596954571302205,0.432224025974026
92,HOPE_CN,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
93,HOPE_CN,GAT,Cornell,0.6046511627906976,0.4444444444444444,0.3311467808097021,0.1599999999999999
94,HOPE_CN,SAGE,Cornell,0.6434108527131783,0.6388888888888888,0.5713628899835796,0.3605442176870748
95,HOPE_CN,GCN,Texas,0.627906976744186,0.6388888888888888,0.3638475273150195,0.4456521739130434
96,HOPE_CN,GAT,Texas,0.6434108527131783,0.6388888888888888,0.38080452690979,0.4809565434565434
97,HOPE_CN,SAGE,Texas,0.7209302325581395,0.6388888888888888,0.5031805020199748,0.5254790940766552
98,HOPE_CN,GCN,Wisconsin,0.6022727272727273,0.58,0.396304023616302,0.3100621820237422
99,HOPE_CN,GAT,Wisconsin,0.5568181818181818,0.7,0.3418336001897645,0.4349137931034482
100,HOPE_CN,SAGE,Wisconsin,0.7727272727272727,0.76,0.5652909253419229,0.4249999999999999
101,HOPE_CN,GCN,Actor,0.3347115203909039,0.271889400921659,0.2989247632753135,0.2391483028534197
102,HOPE_CN,GAT,Actor,0.3474910731065589,0.3080974325213956,0.2952766505839846,0.2635371797633193
103,HOPE_CN,SAGE,Actor,0.3909039654200338,0.3285055957867018,0.3638384297909124,0.3066611491099189
104,HOPE_AA,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
105,HOPE_AA,GAT,Cornell,0.5581395348837209,0.4166666666666667,0.2274594769159987,0.15
106,HOPE_AA,SAGE,Cornell,0.6356589147286822,0.5277777777777778,0.3526984126984127,0.1759259259259259
107,HOPE_AA,GCN,Texas,0.6511627906976745,0.5555555555555556,0.3689475987791946,0.2541208791208791
108,HOPE_AA,GAT,Texas,0.5968992248062015,0.4722222222222222,0.3028927875243664,0.2754287056612637
109,HOPE_AA,SAGE,Texas,0.6124031007751938,0.5277777777777778,0.2629151495089926,0.2568027210884354
110,HOPE_AA,GCN,Wisconsin,0.5511363636363636,0.54,0.3136184251532596,0.2692307692307693
111,HOPE_AA,GAT,Wisconsin,0.5227272727272727,0.5,0.2433333333333333,0.2241791044776119
112,HOPE_AA,SAGE,Wisconsin,0.6306818181818182,0.64,0.4163809523809524,0.3352272727272727
113,HOPE_AA,GCN,Actor,0.3367788009772599,0.292955892034233,0.2802839018601575,0.2413000890552092
114,HOPE_AA,GAT,Actor,0.3523773726743093,0.2699144173798551,0.304459813673141,0.2308798432956593
115,HOPE_AA,SAGE,Actor,0.3747415899267055,0.3561553653719552,0.3255235703875747,0.3107044850469307
116,HOPE_RPR,GCN,Cornell,0.8139534883720931,0.6111111111111112,0.8023062558356676,0.4478571428571428
117,HOPE_RPR,GAT,Cornell,0.7674418604651162,0.6111111111111112,0.5613261093911249,0.4035364145658263
118,HOPE_RPR,SAGE,Cornell,0.9069767441860463,0.6111111111111112,0.7103919372900337,0.3529411764705882
119,HOPE_RPR,GCN,Texas,0.7364341085271318,0.6944444444444444,0.4768745973531628,0.5282467532467533
120,HOPE_RPR,GAT,Texas,0.8682170542635659,0.5555555555555556,0.8043130904183535,0.3
121,HOPE_RPR,SAGE,Texas,0.9844961240310076,0.75,0.7923050498110615,0.6158730158730159
